ach_key,player_id,player_name,player_tag,value,value_str,value_2,is_visible,timestamp,comment,link,royaleapi_path
season_rank_2v2,,⚡️Nooby,VP8VQR90U,1,,3848,1,2024-11-27,,,/players/2v2/170000003
season_rank_2v2,,SK xopxsam,2LQ2YP98,1,,3810,1,2025-06-17,,,/players/2v2/170000007
season_rank_2v2,,Samuel Bassotto,PCJ29YJJ,1,,3896,1,2025-02-25,,,/players/2v2/170000004
season_rank_2v2,,Tonton.,UVU0Q8CL0,2,,3848,1,2024-11-27,,,/players/2v2/170000003
season_rank_2v2,,SK Morten,R09228V,2,,3810,1,2025-06-17,,,/players/2v2/170000007
season_rank_2v2,,YT PedroTm CR,290VGG28,2,,3896,1,2025-02-25,,,/players/2v2/170000004
season_rank_2v2,,CAL Pedro™️,RJ88Y8U08,3,,3847,1,2024-11-27,,,/players/2v2/170000003
season_rank_2v2,,Lord Pablo,8LCY8GP,3,,3764,1,2025-06-17,,,/players/2v2/170000007
season_rank_2v2,,Ryley,R90PRV0PY,3,,3836,1,2025-02-25,,,/players/2v2/170000004
season_rank_2v2,,RUBIZALEZ,LPRR9P,4,,3764,1,2025-06-17,,,/players/2v2/170000007
season_rank_2v2,,Mohamed Light,G9YV9GR8R,4,,3836,1,2025-02-25,,,/players/2v2/170000004
season_rank_2v2,,Cristian GV,JP9VCJU0L,5,,3790,1,2024-11-27,,,/players/2v2/170000003
season_rank_2v2,,S.M❄️,Y28PUP8RP,5,,3749,1,2025-06-17,,,/players/2v2/170000007
season_rank_2v2,,Asaf✨白影,RUQ0JU2P,5,,3772,1,2025-02-25,,,/players/2v2/170000004
season_rank_2v2,,Kotori❤️安之之,LRYQU2V,6,,3748,1,2025-02-25,,,/players/2v2/170000004
season_rank_2v2,,FILIPPO,JQPLJ9GRP,6,,3790,1,2024-11-27,,,/players/2v2/170000003
season_rank_2v2,,YORU愛,2Q2QCYLPR,7,,3725,1,2025-02-25,,,/players/2v2/170000004
season_rank_2v2,,FF｜Vitor75,8LJ92G8UG,7,,3770,1,2024-11-27,,,/players/2v2/170000003
season_rank_2v2,,Woo,U2YVYGGV2,7,,3733,1,2025-06-17,,,/players/2v2/170000007
season_rank_2v2,,Dess,UJRR9RJUL,8,,3724,1,2025-02-25,,,/players/2v2/170000004
season_rank_2v2,,ALF⚜️Lucas,2QUJJCLUU,8,,3769,1,2024-11-27,,,/players/2v2/170000003
season_rank_2v2,,syeoni,C2UUY2CV,8,,3733,1,2025-06-17,,,/players/2v2/170000007
season_rank_2v2,,ICE,8J8JG0G0,9,,3708,1,2025-02-25,,,/players/2v2/170000004
season_rank_2v2,,Ian77,Y9R22RQ2,9,,3756,1,2024-11-27,,,/players/2v2/170000003
