type,season,rank,score,name,tag
2v2,4,1,4054,CAL Pedro™️✨白影,RJ88Y8U08
2v2,4,2,4054,Samuel Bassotto,PCJ29YJJ
2v2,4,3,4032,Dess,UJRR9RJUL
2v2,4,4,4032,REV┃ Yoru,2Q2QCYLPR
2v2,4,5,4025,EGW,C88VYCJC
2v2,4,6,4024,JorZ✨Kun,22LC8JG02
2v2,4,7,4015,Husse16,2U0LLGPUJ
2v2,4,8,4015,奶茶神JL✨Colin,U8C8QV9GQ
2v2,4,9,4008,Yokokoさん☃️,UGU2QLJVL
2v2,4,10,4006,Jhonking20,PQVLP028C
2v2,4,11,4006,Boppy,U8U090GVV
2v2,4,12,4000,MRN MOON✨KUN,8022RY8YU
2v2,4,13,3977,Star✨shiimy’宙斯,L89LCU8YR
2v2,4,14,3977,Steeef,9LVP2RCLL
2v2,4,15,3954,たぁ,LP8PLVJCU
2v2,4,16,3954,꧁✭issei✭꧂,9RYCQGVCJ
2v2,4,17,3946,Ryley,R90PRV0PY
2v2,4,18,3946,Mohamed Light,G9YV9GR8R
2v2,4,19,3944,鬼舞辻無惨,UJYRYCU9
2v2,4,20,3944,八哭｜Furina❤️紫棋,C2RL0PYLV
2v2,4,21,3942,batan,9RQ8YRYQL
2v2,4,22,3941,Asaf,RUQ0JU2P
2v2,4,23,3920,Eurus,UPGJJUVPJ
2v2,4,24,3919,Betfas,GJ282YPQ0
2v2,4,25,3919,SergioRamos:),P2U9G2J
2v2,4,26,3911,ゴリラ✨,RQ0J8GQRJ
2v2,4,27,3911,パーコー大盛り,89GLQY0PV
2v2,4,28,3888,SK xopxsam,2LQ2YP98
2v2,4,29,3888,SK Morten,R09228V
2v2,4,30,3886,Kimchi77✨白影,RU9VQV9C
2v2,4,31,3863,Antique✨,80C09G8G
2v2,4,32,3860,ぐりてゃん,2LJ0ULYCC
2v2,4,33,3859,Twitch｜AnabanCR,GYUQQCLV
2v2,4,34,3859,JOSEPH 19 CM,8JJ80J28
2v2,4,35,3858,Coco,2VGG29RJ2
2v2,4,36,3858,ICE,8J8JG0G0
2v2,4,37,3855,Rosé❣️,CLRGCQGV
2v2,4,38,3855,hacker,9RLULLLP
2v2,4,39,3854,dark✨安花,9JL2YQ2RV
2v2,4,40,3854,ErBacce,J89JRRU
2v2,4,41,3853,Brqko_x,CRYUCRVUG
2v2,4,42,3845,Sasuke❤️Rehwald,UQJ9LUP
2v2,4,43,3845,Levin汁,8QUVYC0G
2v2,4,44,3839,〽️10_King〽️utlu,2CJPLUL2J
2v2,4,45,3839,Zodiac™ 是传奇,YJYJYVGLR
2v2,4,46,3835,garducho,VP9GJYQ2
2v2,4,47,3835,Morgan Rogers,9RCU0V0Y
2v2,4,48,3824,38baloo,8JVRU98JL
2v2,4,49,3822,Sevan,Y2GQLGGU
2v2,4,50,3822,40k Oker,YLVV0JPQ
2v2,4,51,3816,chakayanaz,GGCR2YGP
2v2,4,52,3816,Zihan✨白影,VLU820JUU
2v2,4,53,3816,fluffypotato99,GLJURPRV
