type,season,rank,score,name,tag
m2,2,1,2987,SK Morten,R09228V
m2,2,2,2963,Light Work,U2LYQJQVY
m2,2,3,2940,batan,9RG0VPUVY
m2,2,4,2934,限りない,QVGJUJLC
m2,2,5,2933,Flash Light,UYL8820RJ
m2,2,6,2931,SK xopxsam,2LQ2YP98
m2,2,7,2918,Clown,GPPYR9JYR
m2,2,8,2894,Polaris,U8RYGC8GU
m2,2,9,2878,Coco,2VGG29RJ2
m2,2,10,2876,Mohamed Light,G9YV9GR8R
m2,2,11,2869,WL ✨ Tytoń 劲头,PPCJJV88Q
m2,2,12,2869,Light Bulb,GU2YR209R
m2,2,13,2864,RAD,8QRCJQ9Y
m2,2,14,2861,Dokukinoko,U29LUUP9C
m2,2,15,2855,ErBaccello,20GQJUGG0U
m2,2,16,2852,Light Saber,UJJ2YVLQR
m2,2,17,2850,Yokokoさん☃️,UGU2QLJVL
m2,2,18,2842,Sam❤️Rehwald,VJ2J0P2R2
m2,2,19,2837,airsurfer,P8VUY20C
m2,2,20,2837,RS,JPU2UVP0J
m2,2,21,2836,Gunhwi,2GGR2GPQ0
m2,2,22,2832,Nova Lciop,C8PCCURPJ
m2,2,23,2828,Gui X ッ,LQ0PQ00C
m2,2,24,2826,retired｜sun,VYUQ0PGGV
m2,2,25,2819,Reminoor,2829V8V0L
m2,2,26,2817,SUP1N0,UJQQCUCQ8
m2,2,27,2816,唯一真神,G8GUQU80Y
m2,2,28,2814,PER✨Boba Fett,RY09PJGLQ
m2,2,29,2813,❤️May4❤️,JPPC9URJ
m2,2,30,2807,ErBacce,J89JRRU
m2,2,31,2797,Sosaa❤whit3,CPLGLPU80
m2,2,32,2796,microscale,VUJPPGG0L
m2,2,33,2795,Ruhrpott I Omar,VL2P09U2G
m2,2,34,2793,Trainer Monzón™,VJ2L8QVJU
m2,2,35,2791,门神soloman,C0RJC20CY
m2,2,36,2788,BigSpin❤️Geier,2JGCJG0G
m2,2,37,2788,Gallade,9UG2J9RGP
m2,2,38,2784,CAL Sub ™✨杰克,U890Q9UQ
m2,2,39,2783,Adox,20R0VLJL92
m2,2,40,2783,Logbait King,VLQVRYGV0
m2,2,41,2783,SaintBelikin,QVPJRV
m2,2,42,2782,TTM 大卫Rooney,GG8UC0CP
m2,2,43,2780,No Name,UYUVCY298
m2,2,44,2779,Steeef,9LVP2RCLL
m2,2,45,2778,REV┃Perry,Q0C8LC8
m2,2,46,2775,Geister,2CYR8LCUP
m2,2,47,2775,Confuse,8RPR8QQ8U
m2,2,48,2774,Noob JP,QYPPYRGPG
m2,2,49,2772,Wobbled,C8YCUCCPJ
