type,season,rank,score,name,tag
mt,3,1,4370,FJ21,PU9RCVYUG
mt,3,2,4360,Mini FJ21,Y0Y2UY0CJ
mt,3,3,4357,Abraham Lincoln,Y8RL90U0
mt,3,4,4351,へぶん,2CLYYR9CQ
mt,3,5,4342,coolboy2000,98QCG20
mt,3,6,4342,Mystic Mac,LY9CPYGYL
mt,3,7,4317,王翦,8C9RP92V0
mt,3,8,4315,ポグライダー,2JCVCL02G
mt,3,9,4313,Alangav SLB,82R8URU9G
mt,3,10,4305,lemonTree68,LLV0QRY9G
mt,3,11,4303,まさぼーz,CJJRYR8LP
mt,3,12,4302,Leo Prime,L8LQYJLYP
mt,3,13,4301,EDWINC,UQQJ2QLR8
mt,3,14,4287,朔らんぼ,V9CP2VV28
mt,3,15,4270,霜竹月影,C0UUQGU9P
mt,3,16,4269,damn bro,U2R0U9GY2
mt,3,17,4253,✨️Melody™️✨️,LQGCL0LQ
mt,3,18,4248,LF丨Cormorant❤️K,C28LJU802
mt,3,19,4241,ルンバ,YCCYCQJC
mt,3,20,4235,いも,8VQ0GJP2
mt,3,21,4231,AljeAC ᴮˢᴷ,UQR89U0UG
mt,3,22,4230,Mookie87ak,U2QQL92QP
mt,3,23,4230,Iggy,2PLGJ2YL2
mt,3,24,4228,Joseph.o.,LPJJ8JCY
mt,3,25,4228,chels,RLG08RVU
mt,3,26,4226,лёша,8LCV8URR
mt,3,27,4225,JuniorDJ331,GQPPY22L8
mt,3,28,4225,TikTokKublai.MT,8YULQQJU
mt,3,29,4224,sniper,GR02QVQJL
mt,3,30,4223,ConDog,2RU88RG0
mt,3,31,4223,mfmfgaupon,2LR8R992L
mt,3,32,4221,보우와우,LY2UJCGPC
mt,3,33,4220,just get a job,UVGGL2P0
mt,3,34,4219,Levin,2YCYQ9GUR
mt,3,35,4219,Ricky Royale YT,VLPLUVC
mt,3,36,4217,ヤムチャ,2Y0VGURJ
mt,3,37,4215,manu19,22UVRC8PU
mt,3,38,4215,Babyxdeath,UUJ2VC8QV
mt,3,39,4213,隔壁爱偷女裤衩的王二狗,VU9RLQ2LL
mt,3,40,4211,Show★,20URG9VCL
mt,3,41,4209,Ryrey,V0LQQJR02
mt,3,42,4208,TTk: OZKARMERGE,9Y9UCY2P0
mt,3,43,4208,M A H S U N,89808RUYQ
mt,3,44,4207,Jack,PQQCR9PG9
mt,3,45,4206,Kさく,LJYLRYQ99
mt,3,46,4205,待機児童,YUCYP9PJ9
mt,3,47,4205,InvisibleChiken,8YGY8LGCR
