type,season,rank,score,name,tag
retro,1,1,3431,khazardy✨安之,RVCQ2CQGJ
retro,1,2,3417,Dess,UJRR9RJUL
retro,1,3,3408,Samuel Bassotto,PCJ29YJJ
retro,1,4,3391,Light Work✨白影无踪,U2LYQJQVY
retro,1,5,3361,Flash Light,UYL8820RJ
retro,1,6,3359,Diego❤️Giant,2GQVC8JP8
retro,1,7,3348,Twitch｜AnabanCR,GYUQQCLV
retro,1,8,3339,馬耳 l batman,LP9PJV9RU
retro,1,9,3338,Dominik❤️Akaza,QJ99JYYVC
retro,1,10,3333,Trainer Diego✨️,228QQ2CGY
retro,1,11,3318,airsurfer,P8VUY20C
retro,1,12,3316,Yamacy✨️航之輔,Y0JVU00RR
retro,1,13,3314,☠Decade☠,800GQP89P
retro,1,14,3310,Abstruse✨️,C2YLYY8VJ
retro,1,15,3299,之安神✨LM✨Goat,RYV2YYRUG
retro,1,16,3289,omar,PC2RUYYYQ
retro,1,17,3279,Coco,2VGG29RJ2
retro,1,18,3274,mizuhara,9U0R880UR
retro,1,19,3270,⇀スキル丨Hadi,222LJ8Y8
retro,1,20,3266,Ijihu❤️Swaggy,20PRCUJ0LR
retro,1,21,3264,✨️Liv Morgan✨️,UGJ0PCUPV
retro,1,22,3252,Lucas.xit 式快,2R09LUYPQ
retro,1,23,3239,⚡Kamikaze⚡,UP02QP8Y8
retro,1,24,3238,SWAN,29GP2LGRR
retro,1,25,3231,Peach Tea,UCCVGCLRL
retro,1,26,3229,WL I Charles,G0PV0G0
retro,1,27,3227,つおんき@インフェ枯渇,LLLQ08YPY
retro,1,28,3221,Sofiane,2Q9JG29RL
retro,1,29,3219,모난돌,200YP0YJ9R
retro,1,30,3218,FF｜Oliver,QGYRQV8CG
retro,1,31,3216,kyrie ✨δλ,YLLR9CGGJ
retro,1,32,3215,FILIPPO✨Colin,JQPLJ9GRP
retro,1,33,3215,SK Faust,R0UC9VR2V
retro,1,34,3213,Polaris,U8RYGC8GU
retro,1,35,3212,CHI Pompeyo4,YP9VPGUUG
retro,1,36,3211,Clown,GPPYR9JYR
retro,1,37,3209,Jhonking20,PQVLP028C
retro,1,38,3208,Distrughy 毀滅者,2YLRGVVC
retro,1,39,3207,Friend✨安之,CVR2G2LCJ
retro,1,40,3205,YORU愛,2Q2QCYLPR
retro,1,41,3195,ヨッシー,JULYU9PP0
retro,1,42,3193,❤️May4❤️,JPPC9URJ
retro,1,43,3180,mattu,89VUYU282
retro,1,44,3163,CAPGUN,GR9L9V2LU
retro,1,45,3163,Flakes Power⚡,UV2GL9PVQ
retro,1,46,3162,Frank Vargas,JQVYRJPP2
retro,1,47,3157,WL Star✨Colin,L89LCU8YR
retro,1,48,3157,WELCOME,2VQ9PRQ9Y
retro,1,49,3147,Lucas✨白影无踪,9G28ULYR
retro,1,50,3146,Hypno,VLL8YQC9G
retro,1,51,3145,ENM⚡️BlackPearl,82C2LUUL
retro,1,52,3143,S.M❄️,Y28PUP8RP
retro,1,53,3142,CE Gabo⚡️Light,CRGCCLJLV
retro,1,54,3142,K✨sainz,UCL0C8CJ9
retro,1,55,3140,tsuonki,GQGVPL8Y
retro,1,56,3138,꧁✭issei✭꧂,9RYCQGVCJ
retro,1,57,3138,SK xopxsam,2LQ2YP98
retro,1,58,3136,Melek,8J22ULQGV
retro,1,59,3136,SK Morten,R09228V
retro,1,60,3134,♧Dark Pablo♧,VGULRPUPG
retro,1,61,3133,Buckethead,URLCVQL00
retro,1,62,3129,EsT77 BetaJD,9Y2QU2GVP
retro,1,63,3128,바람,JQP8R9JR8
retro,1,64,3123,YT: Rafinha CR,CCP2J000R
retro,1,65,3123,John77,2GCL89QGP
retro,1,66,3118,bo sabah,CG0UCLPCJ
retro,1,67,3118,Light Bulb,GU2YR209R
retro,1,68,3117,White,V9JG8YC00
retro,1,69,3117,ちㄗ丹尺匕丹匚∪ち,YGQJ2Q99U
retro,1,70,3116,おでん二刀流,Y2RLJPGRU
retro,1,71,3113,ハル,YRCPPCRQL
retro,1,72,3113,tsuma,UPGYRRGRR
retro,1,73,3109,LIP✨️,YYG8QVJLV
retro,1,74,3109,yfg.iuryzz スキル,LR0CVCYQ
retro,1,75,3107,Mohamed Light,G9YV9GR8R
retro,1,76,3102,FF｜Picasso,CCLY2GR02
retro,1,77,3101,CAL Pedro™️,RJ88Y8U08
retro,1,78,3101,SaintBelikin,QVPJRV
retro,1,79,3098,WL✨HIRAxHIRA,29QQ0P8LV
retro,1,80,3093,Viiper,U200V9P
retro,1,81,3088,Koh™️,CRUGCURRP
retro,1,82,3088,Hunter,J8R89YC8
retro,1,83,3085,Carl the Legend,LLGPYL2G
retro,1,84,3085,FF｜Soren哦呢,UYY9QVCGC
retro,1,85,3082,キリトのソーセージ,JLJYJ92U8
retro,1,86,3082,たらちゃん❤️安之✨Colin,CPVQQ9JQG
retro,1,87,3079,枫｜rakan❤️安之,JQ2V2JJ8G
retro,1,88,3077,G-master rader,UGQR2UCYQ
retro,1,89,3077,evolve✨,898Y8PGJ9
retro,1,90,3076,Wallace✨白影,YJPPGL00
retro,1,91,3075,Steeef ✨安之,9LVP2RCLL
retro,1,92,3074,Chets✨,L2L9GP00C
retro,1,93,3071,CYRUS THE GREAT,UGVJP9VVV
retro,1,94,3071,고래마스터,292JLL8LU
retro,1,95,3068,✨ᴅʏꜱᴘʜᰔᩚʀɪᴀ✨,VLCUYPUJR
retro,1,96,3068,Rin✨安之,V8CPG02JU
retro,1,97,3065,Hmble⚜️ErBacce™,J89JRRU
retro,1,98,3062,Mirai / Mark127,VLGRUY8QC
retro,1,99,3062,Dominik,J0VU9CGP
retro,1,100,3061,Lil Log,YJPLQRR09
retro,1,101,3060,Wies⚡Bait ᴳᵒᵈ,88GP02LL2
retro,1,102,3060,❀ Artemisa ❀,P9P2GL8
retro,1,103,3056,Ryley,C0V0UQ9UY
retro,1,104,3044,Rage of Sparta,RCL0QVP8V
retro,1,105,3041,Hypno,L8999VJC
retro,1,106,3041,『Nima』,RJ9YRPULY
retro,1,107,3035,ぐりてゃん,2LJ0ULYCC
retro,1,108,3027,くろーず❤️ちぇる,PL8JJ9JRP
retro,1,109,3024,G.SaJaN,VJ8JJUPC9
retro,1,110,3022,gravity,209VGRYLUY
retro,1,111,3019,Rainbow,VR90898
retro,1,112,3019,Basti™️,2GYRQV02C
retro,1,113,3019,XD I Tareq,2RYLLVPP
retro,1,114,3017,arktomson,Q029J2RU
retro,1,115,3015,Benzo,VG8V92YJ2
retro,1,116,3014,Rocket,LUJR90C2
retro,1,117,3011,WL✨MARVA,22U29G0VR
retro,1,118,3010,✨️ʀɪᴄʜᴀʀᴅ✨️,UP9Q89R00
retro,1,119,3007,The Wizard,90PPU2Q2
retro,1,120,3007,Get Wrecked,JJCJR2P
retro,1,121,3007,Eragon✨安之,9LGYYV9G
retro,1,122,3005,JosephF,2PCR2VQCC
retro,1,123,3005,azor ahai,V2C8JJJCQ
retro,1,124,3001,Rookie❤️CR,PRU2GYPJG
retro,1,125,2993,Morter,YC98UYCV
retro,1,126,2991,뭐하는거니,8RJ9088QV
retro,1,127,2990,WL✨やすおう^_^,8V9QVQCGC
retro,1,128,2990,WL✨venom,P99QL00L8
retro,1,129,2986,Sea✨,LV922VC22
retro,1,130,2984,むぎったん,2CLV2RP0
retro,1,131,2980,Dybala歐鞥,UPJGCRPLC
retro,1,132,2978,ᵀᵒᵒᴳᵒᵒᵈ,RP2QGV8QL
retro,1,133,2970,Wies⚡Bait ᴶᴿ,JRR99UQGL
retro,1,134,2968,Ian77,Y9R22RQ2
retro,1,135,2968,Seif,8RYL09VJ
retro,1,136,2965,シャーロット・リンリン,Y9P28RLJ0
retro,1,137,2965,RigbyXPolat:),UCG2VRYJG
retro,1,138,2964,Alee✨安之,VP9GJYQ2
retro,1,139,2964,亚索Guga™✨,LJ029YC0G
retro,1,140,2964,Luigi,822RG09U2
retro,1,141,2962,ғʀᴏᴢᴇɴ ᴍᴇᴇᴋᴏ,UU0VYL8J2
retro,1,142,2959,∆ldair Vargas,P098CGQQ
retro,1,143,2955,Goaten,QU8R800RU
retro,1,144,2954,Emperador✨,GLCL80LGP
retro,1,145,2952,cosmiik,UQ8CRJJ0J
retro,1,146,2947,Sasuke❤️,UQJ9LUP
retro,1,147,2943,Gzx☠️马特殊wctm,CR8P920CC
retro,1,148,2942,〽️10_King〽️utlu,2CJPLUL2J
retro,1,149,2942,ArtCS✨,88299RC9Y
