type,season,rank,score,name,tag
td,1,1,2923,batan,9RQ8YRYQL
td,1,2,2914,Adox,20R0VLJL92
td,1,3,2912,Ian Nepo,20YYVCCQ2J
td,1,4,2900,Rubiks,9G02U28V
td,1,5,2882,Max ✞︎ 夜斬鬼,QG2QPY0
td,1,6,2880,미친❤Hugo✨Drill,G0LP8UVQ8
td,1,7,2873,Kimchi77,V9RURR22P
td,1,8,2865,Light Yagami,20URPYC2GY
td,1,9,2857,Aleksej,92LVC0LRQ
td,1,10,2854,Aki,9PRUJR099
td,1,11,2848,⚡Jelen333⚡,228J8GPQV
td,1,12,2831,YT:RamubaaCR,YC8LVUYRG
td,1,13,2828,Jelen333,29PPQGLYY
td,1,14,2826,Snusi❤️bocki✡️,CURRQ8V2G
td,1,15,2823,࿕Zodiac❤️susi࿕,ULJQL20YC
td,1,16,2820,John77,2GCL89QGP
td,1,17,2819,WR I Clisman™✨,V20U0YRCY
td,1,18,2813,Touchdown God,9G0RGRQC
td,1,19,2804,Black demon,VVVJY0JCV
td,1,20,2798,Kbolt42,2JYLQ02QV
td,1,21,2797,<c9>ZANE5,2Y0VGCCG0
td,1,22,2797,VeliPeli,9C0992VU
td,1,23,2790,FF｜Soxee™,CUJ0YVLL9
td,1,24,2788,Sixnvミ™️,PJV0VPG0G
td,1,25,2784,Paul Scholes,VRQJC0GQP
td,1,26,2783,Clasher,CRGPQV0PR
td,1,27,2783,JANARAL,20UR9LVGGG
td,1,28,2778,GaelAGM,UG9CYRLYR
td,1,29,2774,✰Eren jeager✰,8LUY0U08G
td,1,30,2771,tsunderecatgirl,VQCRV002J
td,1,31,2769,Prime Mikaa.,YJY8UVR82
td,1,32,2767,くちーりぼーん,VQJ08GGR
td,1,33,2765,>>Makai<<,8V0VGUC
td,1,34,2763,YPepsi My Goat,YJQ8V00VJ
td,1,35,2761,MichelleKiwis,8JJ80J28
td,1,36,2759,おしゅし,URP0GQJGQ
td,1,37,2758,타오ㅣLeo,2VJ9PL9UG
td,1,38,2758,Makai❤️logbait,UR0JQVYYR
td,1,39,2757,LALISA ♡,200GY9RG00
td,1,40,2756,Sosaa,CPLGLPU80
td,1,41,2750,STRANGEHOPE,VQ8C90U0Q
td,1,42,2750,YT:arian cr,UCJ8L2P88
td,1,43,2749,$4L3X$,PG2YU8U
td,1,44,2747,four,PVJJYYYJG
td,1,45,2746,$pandaleon,YPR0UYUL8
td,1,46,2746,Dexterz,JPLP0L0Y
td,1,47,2746,Shadow黑暗的,U2G8P8CV2
td,1,48,2746,German Maestro,2LC2JRY0
td,1,49,2745,36❤️ 完璧なヤギ,UVGR0URPQ
td,1,50,2742,bilibili,CCVPVL8PR
td,1,51,2742,SSG LaPoKaTi,VYCJQ9VJ2
td,1,52,2742,XIX❤️,CU8V9RPQL
td,1,53,2739,INA.BenZerRidel,9GJ0Q0LGG
td,1,54,2738,Jes℘,LG9U2JPC
