creator_id,creator_name,player_id,player_tag,country,country_iso2,twitter,youtube,twitch,tiktok,instagram
c000232,Berat Ali Yılmaz,18129,8VYRP2P0,Turkey,TR,,https://www.youtube.com/channel/UC8tsP8ng94HyawPtKPjOgPw,https://www.twitch.tv/berataliyilmaz,,https://www.instagram.com/berataliyt/
c000235,Cesar-ELQ,18096,9CU8VC09V,El Salvador,SV,https://twitter.com/CesarELQ,https://www.youtube.com/channel/UCgIo92VSfN3uiedIf5SeMTQ,,https://www.tiktok.com/@cesarelq,
c000243,Crusher 21,18093,98RCGL8U,United Kingdom,UK,https://twitter.com/Crusher21_real,https://www.youtube.com/channel/UCoeu6do5WPyhKYkwGk83pVg,,https://www.tiktok.com/@crusher21__,https://www.instagram.com/crusher21_/
c000252,Dofla,21203,U8VPCV28,Italy,IT,https://twitter.com/PiratiR,https://www.youtube.com/channel/UC5k3iqz1nb1-PUz_vvAB0DQ,https://www.twitch.tv/dofla_89,https://www.tiktok.com/@dofla_89,
c000262,Fibii,21206,G9LGUGQPC,Germany,DE,https://twitter.com/xFibii,https://www.youtube.com/channel/UCx1_fN0iR1IIpNdAOnVKWAA,https://www.twitch.tv/xfibii,https://www.tiktok.com/@xfiibii,
c000271,Gemma,17074,GVPQGLPRU,Spain,ES,https://twitter.com/gema327,https://www.youtube.com/channel/UC85DAckqf6ciUKuEZmvk9iQ,https://www.twitch.tv/gemita,https://www.tiktok.com/@g3mita,
c000312,Marco Togni,18937,880RJ0GRP,Italy,IT,https://twitter.com/MarcoTogni,https://www.youtube.com/channel/UCYUYZ58p2GiMHGgfeiouPGg,,,
c000348,Steyb,18120,2RUGPUVUR,Spain,ES,https://twitter.com/Steyb_,https://www.youtube.com/channel/UChHd6081N_U8O4KmNawF-5A,https://www.twitch.tv/steyb,https://www.tiktok.com/@steyb,
c000350,Tarifa,18971,2QJJP9P9,Spain,ES,https://twitter.com/bytarifa,https://www.youtube.com/channel/UCbiqjDZeuczOizyzJ4Sp8fQ,https://www.twitch.tv/bytarifaaa,,
c000357,Tuberanza,18956,YPPR88GJ,Italy,IT,https://twitter.com/Tuberanza,https://www.youtube.com/channel/UCZ-9wXM4m_oAJ0W9Iiw1bHg,https://www.twitch.tv/tuberanza,https://www.tiktok.com/@tuberanza,
c000359,Vanco Vanco,18101,8UYQP0QP,Russia,RU,,https://www.youtube.com/channel/UCcSeRO05Ju8vkkuWpV9Lrmw,https://www.twitch.tv/vanco_youtube,https://www.tiktok.com/@anton_vanco,https://www.instagram.com/anton_vanco/
c000361,Vicens,17298,PRQQL9G0J,Spain,ES,https://twitter.com/ItsVicens,https://www.youtube.com/channel/UCpWSb3a5cN3-JmOeouIx44A,https://www.twitch.tv/vicens,https://www.tiktok.com/@vicens.official,
c000365,xQc,18429,CLGJCL0Y0,Canada,US,https://twitter.com/xQc,https://www.youtube.com/channel/UCmDTrq0LNgPodDOFZiSbsww,https://www.twitch.tv/xqc,,
c000371,Zerbiian,18961,RP9V9QL29,Italy,IT,,https://www.youtube.com/channel/UCDRYArdmlYH9g3k89jxKYMA,,https://www.tiktok.com/@zerbiian_,
c000404,Nickatnyte,353,YRRG,United States,US,https://twitter.com/nicolenyte,https://www.youtube.com/channel/UCMxYQX1zaepCgmiSmwbT39w,https://www.twitch.tv/nicolenyte,https://www.tiktok.com/@nicolenyte,https://www.instagram.com/nicole.nyte/
c000462,Clashing Adda,21596,92J89U0R,India,IN,https://twitter.com/bappa7mukherjee,https://www.youtube.com/channel/UC5gd4f2rw19A0jx_QPwDaBQ,,https://www.tiktok.com/@clashingadda777,https://www.instagram.com/sourav_techadda/
c000509,Gustovow,19002,22V2U90,Brazil,BR,https://twitter.com/GustovowOficial,https://www.youtube.com/channel/UCOSJXTK9ouCv8IVBIi3_6Jw,https://www.twitch.tv/gustovow,,https://www.instagram.com/gustovowoficial/
c000532,Kazuosan,18769,GQCJ2P,Italy,IT,,https://www.youtube.com/channel/UC3kwjdglymIyQF2AY783KOw,,https://www.tiktok.com/@kazuosan_real,
c000540,LAZ,18980,CJ8GPYPVU,Turkey,TR,https://twitter.com/ben_lazali,https://www.youtube.com/channel/UCPi5_vaSYsN_-sgtcvIjARQ,,https://www.tiktok.com/@ben.lazali,https://www.instagram.com/ben.lazali/
c000545,LordSacram,18856,2RYUQV8J8,Spain,ES,https://twitter.com/LordSacram,https://www.youtube.com/channel/UC8ovBDxitbagrpsLUFI5Bjg,https://www.twitch.tv/lordsacram,https://www.tiktok.com/@lordsacram,https://www.instagram.com/tejeiromanu/
c000556,Molizane,19228,P00V92Y9,Brazil,BR,https://twitter.com/VictorMolizane,https://www.youtube.com/channel/UCAai7LiHuxlvXHLAdLMAGjQ,,,https://www.instagram.com/victormolizane/
c001219,Abeel,21418,P9U0YLCJ,Spain,ES,https://twitter.com/byAbeeL,https://www.youtube.com/channel/UCLmXbAhDd2-CujWuHuWXdvQ,https://www.twitch.tv/byabeel,,
c001221,Agustin51,17299,YY028GY80,Spain,ES,https://twitter.com/ImAgus51,https://www.youtube.com/channel/UC1Bb0DVSgXLKuLbenbpkb8g,,,
c001224,Aldo Geo,20948,CP9RQ0GG,Mexico,MX,https://twitter.com/aldogeotv,https://www.youtube.com/channel/UCN5-GZpwKi8ISEt2eBoznpw,https://www.twitch.tv/aldo_geo,https://www.tiktok.com/@aldo_geo,
c001225,Alecmolon,18973,Q2JGUPRCJ,Spain,ES,https://twitter.com/AlecHernandezC,https://www.youtube.com/channel/UCrYJpl5oC2ItVLPub5LVpWw,https://www.twitch.tv/alecmolonvfx,,
c001228,Ander Cortés,17300,8YYJYR8YL,Spain,ES,https://twitter.com/andercortes,https://www.youtube.com/channel/UCi2DfyieDCV-c5bkrvCRSog,https://www.twitch.tv/tvander,,
c001230,Antrax,17075,20QG9YJ,Mexico,MX,https://twitter.com/YoSoyAntrax,https://www.youtube.com/channel/UCNbwP-bKUlKrE_5qDwvFILQ,https://www.twitch.tv/antrax,https://www.tiktok.com/@antrax_official,https://www.instagram.com/yosoyantrax/
c001235,Auronplay,17296,JV0V80UV,Spain,ES,https://twitter.com/auronplay,https://www.youtube.com/channel/UCFR2oaNj02WnXkOgLH0iqOA,https://www.twitch.tv/auronplay,https://www.tiktok.com/@auronplay,
c001241,BarcaGamer,17078,8RRLUVQ,Mexico,MX,https://twitter.com/barcagameryt,https://www.youtube.com/channel/UC3KexRKy5EIy6vp5AWNBjXQ,https://www.twitch.tv/barcagamer,https://www.tiktok.com/@barcagamer,
c001242,Barış Bra,18916,8P22V9RC,Turkey,TR,https://twitter.com/BARISBRA,https://www.youtube.com/channel/UCboQK2pH3xWakPOJv91RbOA,https://www.twitch.tv/bbra,https://www.tiktok.com/@barisbra,
c001243,Bateson87,21433,8U2VJV9J,United Kingdom,UK,https://twitter.com/bateson87,https://www.youtube.com/channel/UCJ47W_WzuzbHaONWB5a9i7w,https://www.twitch.tv/bateson87,https://www.tiktok.com/@bateson87,
c001246,BBXH,1799,8JPLUV0U,United States,US,https://twitter.com/bbxh_twitch,https://www.youtube.com/channel/UCnRiQ8RUi5gGe9D3s2xG0SQ,https://www.twitch.tv/bbxh,https://www.tiktok.com/@bb_xh,
c001247,Betra,17480,G89GRQJQ,Argentina,AR,https://twitter.com/FranCiancioci,https://www.youtube.com/channel/UCc6QUfyoELagptqx3vIJuVw,https://www.twitch.tv/betra,https://www.tiktok.com/@franciancioci,
c001248,Biffle,20993,V9YPU9R89,United States,US,https://twitter.com/AustinDrippon,https://www.youtube.com/channel/UCAv5r1wyqwU-imDLmvLo6Ew,https://www.twitch.tv/biffletv,https://www.tiktok.com/@bifflewiffle,
c001249,Biyín,17301,8JJGPCPY9,Spain,ES,https://twitter.com/_biyin_,https://www.youtube.com/channel/UC4oYV_hjH0XhMl7thB_jZhQ,https://www.twitch.tv/biyin_,https://www.tiktok.com/@biyin,
c001251,ByMaxx,21514,YY92QU,Spain,ES,https://twitter.com/ByMaxx,https://www.youtube.com/channel/UCX4_neTqzb70JUh93Dony-A,,,
c001252,Caprimint,17478,U9L9ULRJJ,Chile,CL,https://twitter.com/Caprimint,https://www.youtube.com/channel/UCzZNDRewogjBnf-0JclPVTA,https://www.twitch.tv/Caprimint,https://www.tiktok.com/@caprimint,
c001258,Chigre,21439,9CG2GYY2,Spain,ES,https://twitter.com/cristianchigre,https://www.youtube.com/channel/UCbvHwCEp23losiBCVQwRVVA,https://www.twitch.tv/chigre,,
c001262,Clash with Cam,357,PRGG29,United States,US,https://twitter.com/dangiebrochris,https://www.youtube.com/channel/UCT2x1vuvgYdhk-kQdlzn6yA,,,
c001265,Cossi,18123,GCG9JRUCU,France,FR,,https://www.youtube.com/channel/UCzQHmV0xBte_ll7oNrFpQeA,https://www.twitch.tv/cossi_twitch,https://www.tiktok.com/@cossi_tiktok,
c001268,Cristinini,18974,2CG0JPCC0,Spain,ES,https://twitter.com/IamCristinini,https://www.youtube.com/channel/UCCuNpAi5cNF4x-hcW2qawhw,https://www.twitch.tv/iamcristinini,https://www.tiktok.com/@iamcristinini,https://www.instagram.com/iamcristinini/
c001271,Danizfx,18982,JQJLLPC9Q,Spain,ES,https://twitter.com/danizvfx,https://www.youtube.com/channel/UCd_0fe6mA1wgNpqzUKlxtIQ,https://www.twitch.tv/danizvfx,,
c001274,Ded,17076,LGQ2UJRV,Mexico,MX,https://twitter.com/dedreviil,https://www.youtube.com/channel/UCjmHiHCOYEUNMdJujiBQOqQ,https://www.twitch.tv/elded,,
c001276,DjMaRiiO,17302,LRJP8UPQ,Spain,ES,https://twitter.com/DjMaRiiO,https://www.youtube.com/channel/UCi7TVXyvrIwqeS9tfYD8UDA,https://www.twitch.tv/djmariio,https://www.tiktok.com/@djmariio,
c001278,Doigby,21383,Q209GGPP,France,FR,https://twitter.com/Doigby,https://www.youtube.com/channel/UCen9TDD6K1ZVW44unAGxtOw,https://www.twitch.tv/doigby,https://www.tiktok.com/@doigby_,
c001279,Domingo,17358,9UP2LLP,France,FR,https://twitter.com/Domingo,https://www.youtube.com/channel/UCRCMNm2I4tM4BTmNSboc4QA,https://www.twitch.tv/domingo,https://www.tiktok.com/@domingo,https://www.instagram.com/pa.domingo/
c001282,Eclipse,18920,8RJYUP,United States,US,https://twitter.com/anthonyeclipse,https://www.youtube.com/channel/UCLAOdac7WmMXQKhOP-8lmrQ,,,https://www.instagram.com/anthonyeclipse/
c001287,El Chicha,21515,89P9GQY,Spain,ES,https://twitter.com/ElChichaYoutube,https://www.youtube.com/channel/UCBGhT2l6yTmymwZKd6guutw,https://www.twitch.tv/elchicha,,
c001288,El Mariana,17297,CV0CV2RCR,Mexico,MX,https://twitter.com/elmarianaa,https://www.youtube.com/channel/UC52YgT6TITyBpck82V_N_8g,https://www.twitch.tv/elmariana,https://www.tiktok.com/@elmarianaa,
c001291,Enes Batur,18988,QCLGRGRJ,Turkey,TR,https://twitter.com/enesbatur00,https://www.youtube.com/channel/UCG0HA4uyuuzPzeq_US_ywVg,,,
c001295,FarsAttack,21449,9RPG9RYQ,Switzerland,CH,https://twitter.com/FarsAttack,https://www.youtube.com/channel/UC-iNzkiXFbRr_l-lq9MVy7w,https://www.twitch.tv/farsattack,,
c001296,Fernanfloo,17303,8YQU0GCPC,El Salvador,SV,https://twitter.com/Fernanfloo,https://www.youtube.com/channel/UCV4xOVpbcV8SdueDCOxLXtQ,https://www.twitch.tv/fernanfloo,https://www.tiktok.com/@fernanfloo,
c001297,FiFqo,18926,9Y99C9,Slovakia,SK,,https://www.youtube.com/channel/UCgfhZNT4T6YiT28c7DLEzAw,https://www.twitch.tv/fifqo,,
